max_level,frames,token_bits_per_frame,estimated_kbps_30fps,psnr_rgb,ssim_rgb
0,50,144,4.32,13.055589256286622,0.3426685282588005
1,50,720,21.6,15.899431533813477,0.4070929604768753
2,50,3024,90.72,19.040360107421876,0.538460049033165
3,50,12240,367.2,22.176696128845215,0.7360661971569061
