model,psnr,ssim,lpips,fid_lite
pure_cnn,24.204086303710938,0.733620285987854,0.02312353067100048,0.005370700740704833
cnn_gan,24.251121520996094,0.7310248613357544,0.02351749874651432,0.004435587470302111
tiny_diffusion,13.813725471496582,0.15845590829849243,0.08814162015914917,0.04528240866923462
